Stock,Previous Close,Opening Price,Post Mentions,Comment Mentions,Sentiment score,Change
TLRY,13.88,13.96,1,4,0.33,-0.29 (-2.09%)
TME,11.58,11.0,0,1,0,-0.80 (-6.91%)
TSLA,649.26,646.36,0,12,0.43,-5.88 (-0.91%)
TSM,116.56,117.65,0,1,0,+0.23 (+0.20%)
TWTR,69.57,72.2,0,1,0.0,+2.12 (+3.05%)
U,104.2,104.5,0,1,0,+1.30 (+1.25%)
UI,308.49,310.56,0,2,0,-7.17 (-2.32%)
UNH,415.77,417.9,1,1,0.0,+1.93 (+0.46%)
UPS,213.23,212.99,0,1,0,-1.59 (-0.75%)
UWMC,7.68,7.7,0,1,0,-0.02 (-0.26%)
V,244.14,246.76,0,1,0,+4.88 (+2.00%)
VCVC,0.0,0.0,0,1,1.0,NA
VERY,8.53,8.46,0,1,0,+0.51 (+5.93%)
VIE,0.0,0.0,0,3,0.5,NA
WBA,46.49,46.78,1,3,1.0,+0.04 (+0.09%)
WFC,45.03,45.1,0,1,1.0,-0.44 (-0.98%)
WISH,9.5,9.37,3,11,0.67,-0.32 (-3.37%)
WORK,45.16,45.16,0,1,1.0,+0.04 (+0.09%)
XOM,57.11,57.29,1,0,0,-0.07 (-0.12%)
XPEV,43.27,41.99,0,1,1.0,-2.27 (-5.25%)
Y,0.0,0.0,1,2,0.0,NA
Z,110.63,111.09,1,0,0,+1.01 (+0.91%)
