Stock,Previous Close,Opening Price,Post Mentions,Comment Mentions,Sentiment score,Change
AA,37.23,37.52,0,1,0,-0.17 (-0.46%)
AAIC,0.0,0.0,0,1,1.0,NA
AAPL,146.8,147.55,1,4,1.0,+1.76 (+1.20%)
ABB,36.02,36.77,0,1,1.0,+0.68 (+1.89%)
ABBV,117.54,117.98,0,1,0.0,+0.65 (+0.55%)
ABCL,16.03,16.05,0,1,0,-0.24 (-1.50%)
ABNB,139.47,139.8,1,2,1.0,-0.74 (-0.53%)
ACI,20.07,20.22,1,0,0,+0.17 (+0.85%)
ADBE,623.68,625.76,0,1,1.0,+2.19 (+0.35%)
AFRM,59.0,59.1,0,1,0.0,-0.31 (-0.53%)
AI,53.08,53.14,1,7,0.75,-1.72 (-3.24%)
ALK,57.98,58.86,0,1,0.0,+0.27 (+0.47%)
AMAT,137.18,137.95,0,2,0,+1.25 (+0.91%)
AMC,37.24,37.78,1,1,0,-0.25 (-0.67%)
AMD,91.21,91.35,3,13,0.8,+0.94 (+1.03%)
AMZN,3638.03,3640.0,1,4,1.0,+18.61 (+0.51%)
ASC,3.57,3.62,0,1,0,+0.2100 (+5.88%)
ATH,63.97,63.67,0,5,1.0,+0.33 (+0.52%)
ATVI,90.47,90.66,1,3,0.0,+1.03 (+1.14%)
BABA,214.04,206.29,0,9,1.0,-7.51 (-3.51%)
BAC,37.96,38.2,0,1,1.0,-0.26 (-0.68%)
BB,10.38,10.38,1,1,0,-0.20 (-1.93%)
BILI,108.66,100.04,0,2,0.0,-13.45 (-12.38%)
BTI,37.88,37.8,1,1,1.0,-0.20 (-0.53%)
C,66.93,67.5,0,1,0,-0.22 (-0.33%)
CBRE,0.0,0.0,0,1,1.0,NA
CHWY,84.67,84.18,0,1,0,+2.07 (+2.44%)
CINF,118.53,116.92,0,1,0.0,-4.08 (-3.44%)
CLOV,8.62,8.35,0,1,0,-0.57 (-6.61%)
COO,0.0,0.0,1,0,0,NA
COST,417.54,418.29,1,0,0,+5.89 (+1.41%)
CRSR,29.62,29.74,0,1,0.0,-0.10 (-0.34%)
CRWD,263.04,261.32,0,1,1.0,+5.92 (+2.25%)
CVS,82.63,83.0,0,6,0.75,+0.64 (+0.77%)
DKNG,49.24,49.29,0,1,0,+0.09 (+0.18%)
DKS,101.28,102.29,1,0,0,+3.13 (+3.09%)
DOOR,105.13,105.51,0,1,1.0,+2.87 (+2.73%)
EA,142.29,142.65,0,1,1.0,+2.70 (+1.90%)
ENPH,178.94,178.9,0,1,0,-0.76 (-0.42%)
EPAM,552.3,554.67,0,1,1.0,+5.06 (+0.92%)
ET,9.94,10.0,1,0,0,+0.06 (+0.60%)
EV,0.0,0.0,0,2,0.0,NA
EXPE,160.03,161.52,0,2,0.0,+1.52 (+0.95%)
FB,351.19,360.91,0,11,0.86,+18.60 (+5.30%)
FCF,13.59,13.51,0,1,1.0,-0.42 (-3.09%)
FI,2.71,2.63,0,1,0,-0.0300 (-1.11%)
